Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
46,Islamabad United,Karachi Kings,Karachi Kings,44 runs,Sharjah,1-Mar-17,Normal,Bat First,,44,2nd Qualifying Final,Islamabad United, elected to field first,Pakistan Super League,2017,Kings Imad Wasim,1-Mar-17, day ,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,,,
47,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,24 runs,Dubai (DICS),3-Mar-17,Normal,Bat First,,24,3rd Qualifying Final,Karachi Kings, elected to field first,Pakistan Super League,2017,Zalmi Kamran Akmal,3-Mar-17, day ,Pakistan Ahsan Raza Sri Lanka Ranmore Martinesz,Pakistan Shozab Raza,Pakistan Ahmed Shahab,Sri Lanka Roshan Mahanama,,,
48,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,58 runs,Lahore,5-Mar-17,Normal,Bat First,,58,Final,Quetta Gladiators, elected to field first,Pakistan Super League,2017,Zalmi Daren Sammy,5-Mar-17, day ,Pakistan Ahsan Raza Sri Lanka Ranmore Martinesz,Pakistan Shozab Raza,,Sri Lanka Roshan Mahanama,,,Zalmi Kamran Akmal
49,Peshawar Zalmi,Multan Sultans,Multan Sultans,7 wickets,Dubai (DICS),22-Feb-18,Normal,Bowl First,7,,Match 1,Multan Sultans, elected to field first,Pakistan Super League,2018,Sultans Kumar Sangakkara,22-Feb-18, night ,Pakistan Ahmed Shahab England Tim Robinson,Sri Lanka Ranmore Martinesz,Pakistan Rashid Riaz,Sri Lanka Roshan Mahanama,Multan Sultans 2, Peshawar Zalmi 0,
50,Karachi Kings,Quetta Gladiators,Karachi Kings,19 runs,Dubai (DICS),23-Feb-18,Normal,Bat First,,19,Match 2,Karachi Kings, elected to bat first,Pakistan Super League,2018,Kings Colin Ingram,23-Feb-18, daynight ,Sri Lanka Ranmore Martinesz Pakistan Rashid Riaz,Pakistan Ahmed Shahab,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Karachi Kings 2, Quetta Gladiators 0,
51,Multan Sultans,Lahore Qalandars,Multan Sultans,43 runs,Dubai (DICS),23-Feb-18,Normal,Bat First,,43,Match 3,Lahore Qalandars, elected to field first,Pakistan Super League,2018,Sultans Imran Tahir,23-Feb-18, night ,Pakistan Asif Yaqoob England Tim Robinson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Multan Sultans 2, Lahore Qalandars 0,
52,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,34 runs,Dubai (DICS),24-Feb-18,Normal,Bat First,,34,Match 4,Islamabad United, elected to field first,Pakistan Super League,2018,Zalmi Umaid Asif,24-Feb-18, daynight ,Sri Lanka Ranmore Martinesz Pakistan Rashid Riaz,Pakistan Ahmed Shahab,Pakistan Khalid Mahmood,Pakistan Mohammed Anees,Peshawar Zalmi 2, Islamabad United 0,
53,Quetta Gladiators,Lahore Qalandars,Quetta Gladiators,9 wickets,Dubai (DICS),24-Feb-18,Normal,Bowl First,9,,Match 5,Quetta Gladiators, elected to field first,Pakistan Super League,2018,Gladiators Mohammad Nawaz,24-Feb-18, night ,Pakistan Asif Yaqoob England Tim Robinson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Lahore Qalandars 0,
54,Multan Sultans,Islamabad United,Islamabad United,5 wickets,Dubai (DICS),25-Feb-18,Normal,Bowl First,5,,Match 6,Islamabad United, elected to field first,Pakistan Super League,2018,United Hussain Talat,25-Feb-18, daynight ,Sri Lanka Ranmore Martinesz Pakistan Rashid Riaz,,Pakistan Khalid Mahmood,,Islamabad United 2, Multan Sultans 0,
55,Karachi Kings,Peshawar Zalmi,Karachi Kings,5 wickets,Dubai (DICS),25-Feb-18,Normal,Bowl First,5,,Match 7,Peshawar Zalmi, elected to bat first,Pakistan Super League,2018,Zalmi Dwayne Smith,25-Feb-18, night ,Sri Lanka Ranmore Martinesz England Tim Robinson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Karachi Kings 2, Peshawar Zalmi 0,
56,Karachi Kings,Lahore Qalandars,Karachi Kings,27 runs,Dubai (DICS),26-Feb-18,Normal,Bat First,,27,Match 8,Karachi Kings, elected to bat first,Pakistan Super League,2018,Kings Shahid Afridi,26-Feb-18, night ,Sri Lanka Ranmore Martinesz England Tim Robinson,Pakistan Shozab Raza,Pakistan Khalid Mahmood,Sri Lanka Roshan Mahanama,Karachi Kings 2, Lahore Qalandars 0,
57,Islamabad United,Quetta Gladiators,Quetta Gladiators,6 wickets,Sharjah,28-Feb-18,Normal,Bowl First,6,,Match 9,Quetta Gladiators, elected to field first,Pakistan Super League,2018,Gladiators Kevin Pietersen,28-Feb-18, night ,Sri Lanka Ranmore Martinesz England Tim Robinson,Pakistan Shozab Raza,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Islamabad United 0,
58,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,5 wickets,Sharjah,1-Mar-18,Normal,Bowl First,5,,Match 10,Peshawar Zalmi, elected to field first,Pakistan Super League,2018,Zalmi Daren Sammy,1-Mar-18, night ,Pakistan Aleem Dar England Tim Robinson,Pakistan Ahmed Shahab,Pakistan Rashid Riaz,,Peshawar Zalmi 2, Quetta Gladiators 0,
59,Multan Sultans,Karachi Kings,No Result,No Result,Sharjah,2-Mar-18,No Result,No Result,,,Match 11,no toss,no toss,Pakistan Super League,2018,No Result,2-Mar-18, daynight ,Pakistan Aleem Dar Pakistan Asif Yaqoob,Pakistan Shozab Raza,,Sri Lanka Roshan Mahanama,Multan Sultans 1, Karachi Kings 1,
