Match Numer,Team 1,Team 2,Winner,Margin,Ground,Match Date,Result,Winning Trends,Win by Wckets,Win by Runs,Key Matches Overview,Toss Winner,Toss Decision,Series,Season,Player Of The Match,Match days,Day & Night,Umpires,TV Umpire,Reserve Umpire,Match Referee,Points 1,Points 2,Player Of The Series
97,Karachi Kings,Quetta Gladiators,Karachi Kings,6 wickets,Sharjah,24-Feb-19,Normal,Bowl First,6,,Match 15,Karachi Kings, elected to field first,Pakistan Super League,2019,Kings Colin Ingram,24-Feb-19, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Asif Yaqoob,,Pakistan Mohammed Anees,Karachi Kings 2, Quetta Gladiators 0,
98,Islamabad United,Multan Sultans,Multan Sultans,6 wickets,Dubai (DICS),26-Feb-19,Normal,Bowl First,6,,Match 16,Multan Sultans, elected to field first,Pakistan Super League,2019,Sultans Dan Christian,26-Feb-19, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Asif Yaqoob,,Sri Lanka Roshan Mahanama,Multan Sultans 2, Islamabad United 0,
99,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,8 wickets,Dubai (DICS),27-Feb-19,Normal,Bowl First,8,,Match 17,Lahore Qalandars, elected to field first,Pakistan Super League,2019,Qalendars Sandeep Lamichhane,27-Feb-19,daynight,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Asif Yaqoob,,Pakistan Mohammed Anees,Lahore Qalandars 2, Quetta Gladiators 0,
100,Islamabad United,Karachi Kings,Islamabad United,5 wickets,Dubai (DICS),27-Feb-19,Normal,Bowl First,5,,Match 18,Islamabad United, elected to field first,Pakistan Super League,2019,United Asif Ali,27-Feb-19, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Islamabad United 2, Karachi Kings 0,
101,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,7 wickets,Dubai (DICS),28-Feb-19,Normal,Bowl First,7,,Match 19,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,Zalmi Kieron Pollard,28-Feb-19, daynight ,Pakistan Asif Yaqoob Sri Lanka Ranmore Martinesz,Pakistan Shozab Raza,,Pakistan Mohammed Anees,Peshawar Zalmi 2, Multan Sultans 0,
102,Karachi Kings,Lahore Qalandars,Karachi Kings,5 wickets,Dubai (DICS),28-Feb-19,Normal,Bowl First,5,,Match 20,Karachi Kings, elected to field first,Pakistan Super League,2019,Kings Iftikhar Ahmed,28-Feb-19, night ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Ahsan Raza,,Sri Lanka Roshan Mahanama,Karachi Kings 2, Lahore Qalandars 0,
103,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,4 wickets,Dubai (DICS),1-Mar-19,Normal,Bowl First,4,,Match 21,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,Zalmi Liam Dawson,1-Mar-19, daynight ,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Asif Yaqoob,,Pakistan Mohammed Anees,Peshawar Zalmi 2, Islamabad United 0,
104,Multan Sultans,Quetta Gladiators,Quetta Gladiators,6 wickets,Dubai (DICS),1-Mar-19,Normal,Bowl First,6,,Match 22,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Gladiators Dwayne Bravo,1-Mar-19, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Rashid Riaz,,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Multan Sultans 0,
105,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,8 wickets,Abu Dhabi,4-Mar-19,Normal,Bowl First,8,,Match 23,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Gladiators Shane Watson,4-Mar-19, daynight ,Pakistan Asif Yaqoob Sri Lanka Ranmore Martinesz,Pakistan Ahsan Raza,,Pakistan Mohammed Anees,Quetta Gladiators 2, Peshawar Zalmi 0,
106,Karachi Kings,Multan Sultans,Karachi Kings,5 wickets,Abu Dhabi,4-Mar-19,Normal,Bowl First,5,,Match 24,Karachi Kings, elected to field first,Pakistan Super League,2019,Kings Usman Shinwari,4-Mar-19, night ,England Richard Illingworth Pakistan Shozab Raza,Pakistan Rashid Riaz,,Pakistan Muhammad Javed,Karachi Kings 2, Multan Sultans 0,
107,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,4 wickets,Abu Dhabi,5-Mar-19,Normal,Bowl First,4,,Match 25,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,Zalmi Misbah-ul-Haq,5-Mar-19, daynight ,Pakistan Ahsan Raza Pakistan Asif Yaqoob,Sri Lanka Ranmore Martinesz,,Pakistan Mohammed Anees,Peshawar Zalmi 2, Lahore Qalandars 0,
108,Islamabad United,Quetta Gladiators,Quetta Gladiators,43 runs,Abu Dhabi,5-Mar-19,Normal,Bat First,,43,Match 26,Islamabad United, elected to field first,Pakistan Super League,2019,Gladiators Ahmed Shehzad,5-Mar-19, night ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Shozab Raza,,Pakistan Muhammad Javed,Quetta Gladiators 2, Islamabad United 0,
109,Lahore Qalandars,Islamabad United,Islamabad United,49 runs,Karachi,9-Mar-19,Normal,Bat First,,49,Match 27,Lahore Qalandars, elected to field first,Pakistan Super League,2019,United Cameron Delport,9-Mar-19, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Rashid Riaz,,Pakistan Muhammad Javed,Islamabad United 2, Lahore Qalandars 0,
110,Karachi Kings,Quetta Gladiators,Karachi Kings,1 run,Karachi,10-Mar-19,Normal,Bat First,,1,Match 28,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Kings Usman Shinwari,10-Mar-19, daynight ,Pakistan Asif Yaqoob Sri Lanka Ranmore Martinesz,Pakistan Ahsan Raza,,Pakistan Mohammed Anees,Karachi Kings 2, Quetta Gladiators 0,
111,Lahore Qalandars,Multan Sultans,Multan Sultans,7 wickets,Karachi,11-Mar-19,Normal,Bowl First,7,,Match 29,Multan Sultans, elected to field first,Pakistan Super League,2019,Sultans Mohammad Abbas,11-Mar-19, day ,England Michael Gough Pakistan Rashid Riaz,Pakistan Shozab Raza,,Pakistan Muhammad Javed,Multan Sultans 2, Lahore Qalandars 0,
112,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,61 runs,Karachi,11-Mar-19,Normal,Bat First,,61,Match 30,Karachi Kings, elected to field first,Pakistan Super League,2019,Zalmi Kamran Akmal,11-Mar-19, night ,Pakistan Ahsan Raza Sri Lanka Ranmore Martinesz,Pakistan Asif Yaqoob,,Pakistan Mohammed Anees,Peshawar Zalmi 2, Karachi Kings 0,
113,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,10 runs,Karachi,13-Mar-19,Normal,Bat First,,10,1st Qualifying Final,Peshawar Zalmi, elected to field first,Pakistan Super League,2019,Gladiators Shane Watson,13-Mar-19, night ,Pakistan Ahsan Raza Sri Lanka Ranmore Martinesz,Pakistan Asif Yaqoob,,Sri Lanka Roshan Mahanama,,,
114,Islamabad United,Karachi Kings,Islamabad United,4 wickets,Karachi,14-Mar-19,Normal,Bowl First,4,,2nd Qualifying Final,Karachi Kings, elected to bat first,Pakistan Super League,2019,United Alex Hales,14-Mar-19, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Rashid Riaz,,Pakistan Mohammed Anees,,,
115,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,48 runs,Karachi,15-Mar-19,Normal,Bat First,,48,3rd Qualifying Final,Islamabad United, elected to field first,Pakistan Super League,2019,Zalmi Kamran Akmal,15-Mar-19, night ,Pakistan Ahsan Raza Sri Lanka Ranmore Martinesz,Pakistan Asif Yaqoob,,Sri Lanka Roshan Mahanama,,,
116,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,8 wickets,Karachi,17-Mar-19,Normal,Bowl First,8,,Final,Quetta Gladiators, elected to field first,Pakistan Super League,2019,Gladiators Mohammad Hasnain,17-Mar-19, night ,Pakistan Ahsan Raza Sri Lanka Ranmore Martinesz,Pakistan Shozab Raza,,Sri Lanka Roshan Mahanama,,,Gladiators Shane Watson
117,Islamabad United,Quetta Gladiators,Quetta Gladiators,3 wickets,Karachi,20-Feb-20,Normal,Bowl First,3,,Match 1,Quetta Gladiators, elected to field first,Pakistan Super League,2020,Gladiators Mohammad Hasnain,20-Feb-20, night ,Pakistan Faisal Afridi England Richard Illingworth,Pakistan Imtiaz Iqbal,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Islamabad United 0,
118,Karachi Kings,Peshawar Zalmi,Karachi Kings,10 runs,Karachi,21-Feb-20,Normal,Bat First,,10,Match 2,Peshawar Zalmi, elected to field first,Pakistan Super League,2020,Kings Babar Azam,21-Feb-20, day ,Pakistan Faisal Afridi England Richard Illingworth,Pakistan Asif Yaqoob,Pakistan Imtiaz Iqbal,Sri Lanka Roshan Mahanama,Karachi Kings 2, Peshawar Zalmi 0,
119,Lahore Qalandars,Multan Sultans,Multan Sultans,5 wickets,Lahore,21-Feb-20,Normal,Bowl First,5,,Match 3,Multan Sultans, elected to field first,Pakistan Super League,2020,Sultans Imran Tahir,21-Feb-20, night ,Sri Lanka Ranmore Martinesz Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Nasir Hussain,Pakistan Mohammed Anees,Multan Sultans 2, Lahore Qalandars 0,
120,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,6 wickets,Karachi,22-Feb-20,Normal,Bowl First,6,,Match 4,Peshawar Zalmi, elected to field first,Pakistan Super League,2020,Zalmi Kamran Akmal,22-Feb-20, day ,Pakistan Faisal Afridi England Richard Illingworth,Pakistan Asif Yaqoob,Pakistan Imtiaz Iqbal,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Quetta Gladiators 0,
121,Islamabad United,Multan Sultans,Islamabad United,8 wickets,Lahore,22-Feb-20,Normal,Bowl First,8,,Match 5,Islamabad United, elected to field first,Pakistan Super League,2020,United Luke Ronchi,22-Feb-20, night ,Sri Lanka Ranmore Martinesz Pakistan Shozab Raza,Pakistan Rashid Riaz,Pakistan Nasir Hussain,Pakistan Mohammed Anees,Islamabad United 2, Multan Sultans 0,
122,Karachi Kings,Quetta Gladiators,Quetta Gladiators,5 wickets,Karachi,23-Feb-20,Normal,Bowl First,5,,Match 6,Karachi Kings, elected to bat first,Pakistan Super League,2020,Gladiators Azam Khan,23-Feb-20, day ,Pakistan Faisal Afridi England Richard Illingworth,Pakistan Asif Yaqoob,Pakistan Imtiaz Iqbal,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Karachi Kings 0,
123,Lahore Qalandars,Islamabad United,Islamabad United,1 wicket,Lahore,23-Feb-20,Normal,Bat First,1,,Match 7,Islamabad United, elected to field first,Pakistan Super League,2020,United Shadab Khan,23-Feb-20, night ,Sri Lanka Ranmore Martinesz Pakistan Rashid Riaz,Pakistan Shozab Raza,Pakistan Nasir Hussain,Pakistan Mohammed Anees,Islamabad United 2, Lahore Qalandars 0,
124,Multan Sultans,Peshawar Zalmi,Multan Sultans,6 wickets,Multan,26-Feb-20,Normal,Bowl First,6,,Match 8,Multan Sultans, elected to field first,Pakistan Super League,2020,Sultans Sohail Tanvir,26-Feb-20, night ,Pakistan Asif Yaqoob Pakistan Faisal Afridi,Pakistan Shozab Raza,Pakistan Aslam Bareach,Pakistan Muhammad Javed,Multan Sultans 2, Peshawar Zalmi 0,
125,Islamabad United,Quetta Gladiators,Quetta Gladiators,5 wickets,Rawalpindi,27-Feb-20,Normal,Bowl First,5,,Match 9,Quetta Gladiators, elected to field first,Pakistan Super League,2020,Gladiators Ben Cutting,27-Feb-20, night ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Majid Hussain,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Islamabad United 0,
126,Multan Sultans,Karachi Kings,Multan Sultans,52 runs,Multan,28-Feb-20,Normal,Bat First,,52,Match 10,Karachi Kings, elected to field first,Pakistan Super League,2020,Sultans Moeen Ali,28-Feb-20, day ,Pakistan Faisal Afridi Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Aslam Bareach,Pakistan Muhammad Javed,Multan Sultans 2, Karachi Kings 0,
127,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,16 runs,Rawalpindi,28-Feb-20,Normal,Bat First,,16,Match 11,Lahore Qalandars, elected to field first,Pakistan Super League,2020,Zalmi Lewis Gregory,28-Feb-20, night ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Majid Hussain,,Peshawar Zalmi 2, Lahore Qalandars 0,
128,Multan Sultans,Quetta Gladiators,Multan Sultans,30 runs,Multan,29-Feb-20,Normal,Bat First,,30,Match 12,Multan Sultans, elected to bat first,Pakistan Super League,2020,Sultans Rilee Rossouw,29-Feb-20, day ,Pakistan Asif Yaqoob Pakistan Faisal Afridi,Pakistan Shozab Raza,Pakistan Aslam Bareach,Pakistan Muhammad Javed,Multan Sultans 2, Quetta Gladiators 0,
129,Islamabad United,Peshawar Zalmi,No Result,No Result,Rawalpindi,29-Feb-20,No Result,No Result,,,Match 13,no toss,no toss,Pakistan Super League,2020,No Result,29-Feb-20, night ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Majid Hussain,Sri Lanka Roshan Mahanama,Islamabad United 1, Peshawar Zalmi 1,
130,Islamabad United,Karachi Kings,Karachi Kings,5 wickets,Rawalpindi,1-Mar-20,Normal,Bowl First,5,,Match 14,Karachi Kings, elected to field first,Pakistan Super League,2020,Kings Alex Hales,1-Mar-20, night ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Majid Hussain,Pakistan Mohammed Anees,Karachi Kings 2, Islamabad United 0,
131,Karachi Kings,Peshawar Zalmi,Karachi Kings,6 wickets,Rawalpindi,2-Mar-20,Normal,Bowl First,6,,Match 15,Karachi Kings, elected to field first,Pakistan Super League,2020,Kings Mohammad Amir,2-Mar-20, night ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Saqib Khan,Sri Lanka Roshan Mahanama,Karachi Kings 2, Peshawar Zalmi 0,
132,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,37 runs,Lahore,3-Mar-20,Normal,Bat First,,37,Match 16,Quetta Gladiators, elected to field first,Pakistan Super League,2020,Qalandars Ben Dunk,3-Mar-20, night ,Pakistan Faisal Afridi Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Pakistan Mohammed Anees,Lahore Qalandars 2, Quetta Gladiators 0,
133,Lahore Qalandars,Islamabad United,Islamabad United,71 runs,Lahore,4-Mar-20,Normal,Bat First,,71,Match 17,Lahore Qalandars, elected to field first,Pakistan Super League,2020,United Colin Munro,4-Mar-20, night ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Faisal Afridi,Pakistan Nasir Hussain,Pakistan Aziz-ur-Rehman,Islamabad United 2, Lahore Qalandars 0,
134,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,30 runs,Rawalpindi,5-Mar-20,Normal,Bat First,,30,Match 18,Quetta Gladiators, elected to field first,Pakistan Super League,2020,Zalmi Shoaib Malik,5-Mar-20, night ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Saqib Khan,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Quetta Gladiators 0,
135,Karachi Kings,Multan Sultans,No Result,No Result,Lahore,6-Mar-20,No Result,No Result,,,Match 19,Karachi Kings, elected to field first,Pakistan Super League,2020,No Result,6-Mar-20, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Pakistan Aziz-ur-Rehman,Multan Sultans 1, Karachi Kings 1,
136,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,7 runs,Rawalpindi,7-Mar-20,Normal,Bat First,,7,Match 20,Peshawar Zalmi, elected to field first,Pakistan Super League,2020,United Shadab Khan,7-Mar-20, day ,Pakistan Rashid Riaz Pakistan Tariq Rasheed,Sri Lanka Ranmore Martinesz,Pakistan Saqib Khan,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Islamabad United 0,
137,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,8 wickets,Lahore,7-Mar-20,Normal,Bowl First,8,,Match 21,Lahore Qalandars, elected to field first,Pakistan Super League,2020,Qalandars Samit Patel,7-Mar-20, night ,Pakistan Asif Yaqoob England Michael Gough,Pakistan Shozab Raza,Pakistan Nasir Hussain,Pakistan Aziz-ur-Rehman,Lahore Qalandars 2, Quetta Gladiators 0,
138,Islamabad United,Multan Sultans,Multan Sultans,9 wickets,Rawalpindi,8-Mar-20,Normal,Bowl First,9,,Match 22,Multan Sultans, elected to field first,Pakistan Super League,2020,Sultans James Vince,8-Mar-20, day ,Sri Lanka Ranmore Martinesz Pakistan Tariq Rasheed,Pakistan Rashid Riaz,Pakistan Saqib Khan,Sri Lanka Roshan Mahanama,Multan Sultans 2, Islamabad United 0,
139,Lahore Qalandars,Karachi Kings,Lahore Qalandars,8 wickets,Lahore,8-Mar-20,Normal,Bowl First,8,,Match 23,Lahore Qalandars, elected to field first,Pakistan Super League,2020,Qalandars Ben Dunk,8-Mar-20, night ,England Michael Gough Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Pakistan Mohammed Anees,Lahore Qalandars 2, Karachi Kings 0,
140,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,5 wickets,Lahore,10-Mar-20,Normal,Bowl First,5,,Match 24,Lahore Qalandars, elected to field first,Pakistan Super League,2020,Qalandars Fakhar Zaman,10-Mar-20, night ,Pakistan Aleem Dar England Michael Gough,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,,Lahore Qalandars 2, Peshawar Zalmi 0,
141,Multan Sultans,Quetta Gladiators,No Result,No Result,Lahore,11-Mar-20,No Result,No Result,,,Match 25,no toss,no toss,Pakistan Super League,2020,No Result,11-Mar-20, night ,Pakistan Aleem Dar Pakistan Asif Yaqoob,England Michael Gough,Pakistan Nasir Hussain,Pakistan Mohammed Anees,Multan Sultans 1, Quetta Gladiators 1,
142,Karachi Kings,Lahore Qalandars,Karachi Kings,10 wickets,Karachi,12-Mar-20,Normal,Bowl First,10,,Match 26,Karachi Kings, elected to field first,Pakistan Super League,2020,Kings Sharjeel Khan,12-Mar-20, night ,Pakistan Ahsan Raza England Michael Gough,Pakistan Rashid Riaz,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,Karachi Kings 2, Lahore Qalandars 0,
143,Multan Sultans,Peshawar Zalmi,Multan Sultans,3 runs,Karachi,13-Mar-20,Normal,Bat First,,3,Match 27,Peshawar Zalmi, elected to field first,Pakistan Super League,2020,Sultans Zeeshan Ashraf,13-Mar-20, night ,England Michael Gough Pakistan Rashid Riaz,Pakistan Ahsan Raza,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,Multan Sultans 2, Peshawar Zalmi 0,
144,Karachi Kings,Islamabad United,Karachi Kings,4 wickets,Karachi,14-Mar-20,Normal,Bowl First,4,,Match 28,Karachi Kings, elected to field first,Pakistan Super League,2020,Kings Sharjeel Khan,14-Mar-20, night ,Pakistan Ahsan Raza England Michael Gough,Pakistan Rashid Riaz,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,Karachi Kings 2, Islamabad United 0,
145,Lahore Qalandars,Multan Sultans,Lahore Qalandars,9 wickets,Lahore,15-Mar-20,Normal,Bowl First,9,,Match 29,Lahore Qalandars, elected to field first,Pakistan Super League,2020,Qalandars Chris Lynn,15-Mar-20, day ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,,Lahore Qalandars 2, Multan Sultans 0,
146,Karachi Kings,Quetta Gladiators,Quetta Gladiators,5 wickets,Karachi,15-Mar-20,Normal,Bowl First,5,,Match 30,Karachi Kings, elected to bat first,Pakistan Super League,2020,Gladiators Shane Watson,15-Mar-20, night ,England Michael Gough Pakistan Rashid Riaz,Pakistan Ahsan Raza,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Karachi Kings 0,
147,Multan Sultans,Karachi Kings,Karachi Kings,Super Over,Karachi,14-Nov-20,Tied,Super Over,,,1st Qualifying Final,Karachi Kings, elected to field first,Pakistan Super League,2020,Kings Babar Azam,14-Nov-20, day ,England Michael Gough Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Pakistan Nasir Hussain,Pakistan Mohammed Anees,,,
148,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,5 wickets,Karachi,14-Nov-20,Normal,Bowl First,5,,2nd Qualifying Final,Lahore Qalandars, elected to field first,Pakistan Super League,2020,Qalandars Mohammad Hafeez,14-Nov-20, night ,Pakistan Aleem Dar Pakistan Shozab Raza,Pakistan Ahsan Raza,Pakistan Faisal Afridi,Pakistan Muhammad Javed,,,
149,Lahore Qalandars,Multan Sultans,Lahore Qalandars,25 runs,Karachi,15-Nov-20,Normal,Bat First,,25,3rd Qualifying Final,Multan Sultans, elected to field first,Pakistan Super League,2020,Qalandars David Wiese,15-Nov-20, night ,Pakistan Aleem Dar England Michael Gough,Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Mohammed Anees,,,
150,Karachi Kings,Lahore Qalandars,Karachi Kings,5 wickets,Karachi,17-Nov-20,Normal,Bowl First,5,,Final,Lahore Qalandars, elected to bat first,Pakistan Super League,2020,Kings Babar Azam,17-Nov-20, night ,Pakistan Aleem Dar England Michael Gough,Pakistan Ahsan Raza,Pakistan Rashid Riaz,Pakistan Mohammed Anees,,,Kings Babar Azam
151,Karachi Kings,Quetta Gladiators,Karachi Kings,7 wickets,Karachi,20-Feb-21,Normal,Bowl First,7,,Match 1,Karachi Kings, elected to field first,Pakistan Super League,2021,Kings Arshad Iqbal,20-Feb-21, night ,Pakistan Ahsan Raza Pakistan Aleem Dar,Pakistan Rashid Riaz,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Karachi Kings 2, Quetta Gladiators 0,
152,Lahore Qalandars,Peshawar Zalmi,Lahore Qalandars,4 wickets,Karachi,21-Feb-21,Normal,Bowl First,4,,Match 2,Lahore Qalandars, elected to field first,Pakistan Super League,2021,Qalandars Shaheen Shah Afridi,21-Feb-21, day ,Pakistan Rashid Riaz Pakistan Shozab Raza,Pakistan Zameer Haider,Pakistan Imran Javed,Pakistan Iftikhar Ahmed,Lahore Qalandars 2, Peshawar Zalmi 0,
153,Islamabad United,Multan Sultans,Islamabad United,3 wickets,Karachi,21-Feb-21,Normal,Bowl First,3,,Match 3,Islamabad United, elected to field first,Pakistan Super League,2021,United Lewis Gregory,21-Feb-21, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Aleem Dar,Pakistan Asif Yaqoob,Sri Lanka Roshan Mahanama,Islamabad United 2, Multan Sultans 0,
154,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,9 wickets,Karachi,22-Feb-21,Normal,Bowl First,9,,Match 4,Lahore Qalandars, elected to field first,Pakistan Super League,2021,Qalandars Fakhar Zaman,22-Feb-21, night ,Pakistan Aleem Dar Pakistan Asif Yaqoob,Pakistan Rashid Riaz,Pakistan Zameer Haider,Pakistan Ali Naqvi,Lahore Qalandars 2, Quetta Gladiators 0,
155,Multan Sultans,Peshawar Zalmi,Peshawar Zalmi,6 wickets,Karachi,23-Feb-21,Normal,Bowl First,6,,Match 5,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Zalmi Tom Kohler-Cadmore,23-Feb-21, night ,Pakistan Aleem Dar England Richard Illingworth,Pakistan Asif Yaqoob,Pakistan Ahsan Raza,Sri Lanka Roshan Mahanama,Peshawar Zalmi 2, Multan Sultans 0,
156,Karachi Kings,Islamabad United,Islamabad United,5 wickets,Karachi,24-Feb-21,Normal,Bowl First,5,,Match 6,Islamabad United, elected to field first,Pakistan Super League,2021,United Alex Hales,24-Feb-21, night ,Pakistan Aleem Dar Pakistan Rashid Riaz,England Richard Illingworth,Pakistan Imran Javed,Pakistan Ali Naqvi,Islamabad United 2, Karachi Kings 0,
157,Lahore Qalandars,Multan Sultans,Multan Sultans,7 wickets,Karachi,26-Feb-21,Normal,Bowl First,7,,Match 7,Multan Sultans, elected to field first,Pakistan Super League,2021,Sultans Mohammad Rizwan,26-Feb-21, daynight ,Pakistan Ahsan Raza Pakistan Faisal Afridi,Pakistan Shozab Raza,Pakistan Zameer Haider,Sri Lanka Roshan Mahanama,Multan Sultans 2, Lahore Qalandars 0,
158,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,3 wickets,Karachi,26-Feb-21,Normal,Bowl First,3,,Match 8,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Zalmi Haider Ali,26-Feb-21, night ,Pakistan Asif Yaqoob England Richard Illingworth,Pakistan Rashid Riaz,Pakistan Imran Javed,Pakistan Iftikhar Ahmed,Peshawar Zalmi 2, Quetta Gladiators 0,
159,Karachi Kings,Multan Sultans,Karachi Kings,7 wickets,Karachi,27-Feb-21,Normal,Bowl First,7,,Match 9,Karachi Kings, elected to field first,Pakistan Super League,2021,Kings Babar Azam,27-Feb-21, day ,Pakistan Rashid Riaz England Richard Illingworth,Pakistan Ahsan Raza,Pakistan Faisal Afridi,Sri Lanka Roshan Mahanama,Karachi Kings 2, Multan Sultans 0,
160,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,6 wickets,Karachi,27-Feb-21,Normal,Bowl First,6,,Match 10,Peshawar Zalmi, elected to field first,Pakistan Super League,2021,Zalmi Wahab Riaz,27-Feb-21, night ,Pakistan Asif Yaqoob Pakistan Shozab Raza,Pakistan Zameer Haider,Pakistan Imran Javed,Pakistan Ali Naqvi,Peshawar Zalmi 2, Islamabad United 0,
161,Karachi Kings,Lahore Qalandars,Lahore Qalandars,6 wickets,Karachi,28-Feb-21,Normal,Bowl First,6,,Match 11,Lahore Qalandars, elected to field first,Pakistan Super League,2021,Qalandars Shaheen Shah Afridi,28-Feb-21, night ,Pakistan Ahsan Raza England Richard Illingworth,Pakistan Rashid Riaz,Pakistan Shozab Raza,Sri Lanka Roshan Mahanama,Lahore Qalandars 2, Karachi Kings 0,
162,Islamabad United,Quetta Gladiators,Islamabad United,6 wickets,Karachi,1-Mar-21,Normal,Bowl First,6,,Match 12,Islamabad United, elected to field first,Pakistan Super League,2021,United Faheem Ashraf,1-Mar-21, night ,Pakistan Ahsan Raza Pakistan Shozab Raza,Pakistan Asif Yaqoob,Pakistan Imran Javed,Pakistan Ali Naqvi,Islamabad United 2, Quetta Gladiators 0,
163,Karachi Kings,Peshawar Zalmi,Karachi Kings,6 wickets,Karachi,3-Mar-21,Normal,Bowl First,6,,Match 13,Karachi Kings, elected to field first,Pakistan Super League,2021,Kings Mohammad Nabi,3-Mar-21, day ,Pakistan Imran Javed Pakistan Rashid Riaz,Pakistan Ahsan Raza,Pakistan Shozab Raza,Pakistan Iftikhar Ahmed,Karachi Kings 2, Peshawar Zalmi 0,
164,Multan Sultans,Quetta Gladiators,Quetta Gladiators,22 runs,Karachi,3-Mar-21,Normal,Bat First,,22,Match 14,Multan Sultans, elected to field first,Pakistan Super League,2021,Gladiators Qais Ahmad,3-Mar-21, night ,Pakistan Asif Yaqoob Pakistan Faisal Afridi,England Richard Illingworth,Pakistan Zameer Haider,Sri Lanka Roshan Mahanama,Quetta Gladiators 2, Multan Sultans 0,
